arm,n_cut,TP,FP,FN,precision,recall,rollout_saved_pct,items_dropped_pct,L2_preserved_pct,rollout_saved_pct_ci95,L2_preserved_pct_ci95
no-gate,0,0,0,39,0.0,0.0,0.0,0.0,99.99999999999999,,
random-cut-23,23,8,14,30,0.3852608695652174,0.2272051282051282,13.335720173654998,23.0,87.6275924112951,"[np.float64(10.863603890751223), np.float64(15.782821344177611)]","[np.float64(83.95939690034018), np.float64(91.4366214254711)]"
oracle,39,39,0,0,1.0,1.0,23.053250535802604,39.0,99.99999999999999,,
DAPO-oracle,0,0,0,39,0.0,0.0,0.0,39.0,99.99999999999999,,
R1: d<0.11 only,21,17,4,22,0.8095238095238095,0.4358974358974359,11.925042589437819,21.0,96.66572451020045,,
single-τ: τ≥0.90,6,6,0,33,1.0,0.15384615384615385,0.0,6.0,99.99999999999999,,
OURS R3,23,19,4,20,0.8260869565217391,0.48717948717948717,11.925042589437819,23.0,96.66572451020045,,
OURS+DAPO,23,19,4,20,0.8260869565217391,0.48717948717948717,11.925042589437819,43.0,96.66572451020045,,
