name,n_steps,total_wall_secs,rollout_secs,n_groups,n_groups_cut,n_zero_var,rewards_first5,rewards_last5,loss_first5,loss_last5,grad_norm_mean
baseline,12,956.8901569843292,664.658365726471,36,0,33,0.0,0.13333333333333333,0.0,-0.005733500219503185,0.06366495539744695
gated,12,962.8963522911072,668.3289332389832,36,0,34,0.03333333333333333,0.03333333333333333,-0.0024420600617304443,-0.0037018305622041224,0.07104536394278209
