K,d_low,t_high,TP,FP,prec,rec,savings
5,0.0,0.5,3,0,1.0,0.07894736842105263,0.025
10,0.0,0.8500000000000001,7,1,0.875,0.18421052631578946,0.04666666666666667
15,0.09,0.8500000000000001,14,3,0.8235294117647058,0.3684210526315789,0.07
20,0.24,0.9,15,3,0.8333333333333334,0.39473684210526316,0.05
