iter,gate,n_groups,n_groups_cut,n_zero_variance,n_train_items,loss,grad_norm,rewards_mean,rewards_max,rollout_secs,train_secs,save_secs,iter_secs,cumulative_wall_clock_sec,seed,arm,zv_rate,cut_rate,recall_per_iter,dilution_pct
36,off,10,0,4,96,-0.0077670064638368785,0.10416169464588165,0.5375,1.0,275.01371717453003,14.549798727035522,0.8105473518371582,290.3874771595001,10236.213768959045,42,baseline,0.4,0.0,,40.0
37,off,10,0,1,96,-0.026363437937106937,0.1379726678133011,0.4,1.0,324.39247369766235,12.5529043674469,0.8030760288238525,337.76462745666504,10573.97839641571,42,baseline,0.1,0.0,,10.0
38,off,10,0,5,96,-0.04907888037269004,0.21565964818000793,0.475,1.0,238.6280357837677,13.454962730407715,0.8150374889373779,252.91428089141846,10826.892677307129,42,baseline,0.5,0.0,,50.0
39,off,10,0,3,96,0.02993005439202534,0.14739343523979187,0.6875,1.0,240.4123272895813,13.264425277709961,0.8200063705444336,254.51135802268982,11081.404035329819,42,baseline,0.3,0.0,,30.0
40,off,10,0,4,96,-0.023630611355656583,0.193926602602005,0.5125,1.0,269.9345998764038,10.929718255996704,0.8325598239898682,281.7080178260803,11363.112053155899,42,baseline,0.4,0.0,,40.0
41,off,10,0,5,96,0.0006982799714023713,0.043464165180921555,0.2375,1.0,327.37499499320984,10.837562561035156,0.8334355354309082,339.0625123977661,11702.174565553665,42,baseline,0.5,0.0,,50.0
42,off,10,0,4,96,-0.010598198117804714,0.03850293904542923,0.4375,1.0,281.5576972961426,11.960453510284424,0.8229935169219971,294.3550660610199,11996.529631614685,42,baseline,0.4,0.0,,40.0
43,off,10,0,3,96,-0.06637331568344962,0.2836834490299225,0.6,1.0,257.84698700904846,12.501194715499878,0.8370063304901123,271.2017240524292,12267.731355667114,42,baseline,0.3,0.0,,30.0
44,off,10,0,6,96,0.0005760472726308308,0.07598315924406052,0.5875,1.0,254.14811635017395,12.784456491470337,0.8222963809967041,267.7677638530731,12535.499119520187,42,baseline,0.6,0.0,,60.0
45,off,10,0,3,96,0.01369848863396328,0.1045580804347992,0.5125,1.0,309.4909989833832,11.637181282043457,0.8211402893066406,321.96546483039856,12857.464584350586,42,baseline,0.3,0.0,,30.0
46,off,10,0,4,96,-0.02391721901949495,0.19146978855133057,0.6375,1.0,251.75975465774536,12.267771482467651,0.8316957950592041,264.8748445510864,13122.339428901672,42,baseline,0.4,0.0,,40.0
47,off,10,0,4,96,0.012217331473948434,0.10226130485534668,0.4875,1.0,301.67816376686096,11.490809202194214,0.8193323612213135,314.00315046310425,13436.342579364777,42,baseline,0.4,0.0,,40.0
48,off,10,0,3,96,0.005579488497460261,0.11253643780946732,0.55,1.0,276.24938011169434,10.766168355941772,0.8549561500549316,287.88292169570923,13724.225501060486,42,baseline,0.3,0.0,,30.0
49,off,10,0,3,96,0.0006246708799153566,0.18845130503177643,0.55,1.0,284.7274498939514,15.895943403244019,0.8381719589233398,301.47764706611633,14025.703148126602,42,baseline,0.3,0.0,,30.0
50,off,10,0,3,96,0.003901494609749534,0.09837936609983444,0.5625,1.0,277.6374900341034,14.61998987197876,0.8225109577178955,293.0948209762573,14318.79796910286,42,baseline,0.3,0.0,,30.0
51,off,10,0,5,96,0.013707527425140142,0.16417296230793,0.5875,1.0,242.8089883327484,14.364140748977661,0.8060119152069092,257.99635314941406,14576.794322252274,42,baseline,0.5,0.0,,50.0
52,off,10,0,4,96,-0.034495956206228584,0.16697439551353455,0.4375,1.0,309.73529720306396,10.95759916305542,0.8105001449584961,321.5175516605377,14898.311873912811,42,baseline,0.4,0.0,,40.0
53,off,10,0,6,96,0.011977051675785333,0.04511189088225365,0.4875,1.0,248.2515025138855,9.662118911743164,0.8235287666320801,258.7527711391449,15157.064645051956,42,baseline,0.6,0.0,,60.0
54,off,10,0,4,96,-0.009959765820212851,0.11633243411779404,0.25,1.0,308.8656859397888,10.19707465171814,0.8285961151123047,319.9079866409302,15476.972631692886,42,baseline,0.4,0.0,,40.0
55,off,10,0,3,96,-0.020252100196046285,0.09696594625711441,0.4125,1.0,299.6688013076782,9.74789834022522,0.8163940906524658,310.2530403137207,15787.225672006607,42,baseline,0.3,0.0,,30.0
56,off,10,0,4,96,0.004905883703031577,0.0579368881881237,0.525,1.0,291.8537061214447,9.321919918060303,0.8296847343444824,302.0187749862671,16089.244446992874,42,baseline,0.4,0.0,,40.0
57,off,10,0,3,96,-0.04516223013342824,0.25433096289634705,0.575,1.0,282.3909068107605,13.33715009689331,0.8256425857543945,296.56952118873596,16385.81396818161,42,baseline,0.3,0.0,,30.0
58,off,10,0,3,96,-0.004997862844902556,0.13463445007801056,0.2375,1.0,327.69841480255127,10.060792684555054,0.8274765014648438,338.60348892211914,16724.41745710373,42,baseline,0.3,0.0,,30.0
59,off,10,0,5,96,-0.01040299260057509,0.12211641669273376,0.5375,1.0,252.35388731956482,13.94240403175354,0.8212630748748779,267.1342394351959,16991.551696538925,42,baseline,0.5,0.0,,50.0
60,off,10,0,3,96,0.022827219916507602,0.12829996645450592,0.675,1.0,244.86032676696777,14.93438458442688,0.8208200931549072,260.6270728111267,17252.178769350052,42,baseline,0.3,0.0,,30.0
1,off,10,0,6,96,-0.016334828251274303,0.11912596970796585,0.4625,1.0,263.26527762413025,11.078437566757202,0.8771584033966064,275.2281084060669,275.2281084060669,7,baseline,0.6,0.0,,60.0
2,off,10,0,3,96,-0.07496335508767515,0.24747584760189056,0.6,1.0,235.96831846237183,17.064493417739868,0.8847293853759766,253.92847681045532,529.1565852165222,7,baseline,0.3,0.0,,30.0
3,off,10,0,6,96,0.007422955943184206,0.06576576083898544,0.4,1.0,261.97909712791443,11.53460144996643,0.8727381229400635,274.39149236679077,803.548077583313,7,baseline,0.6,0.0,,60.0
4,off,10,0,4,96,-0.01364795367271654,0.11452364176511765,0.45,1.0,286.81063866615295,10.813692569732666,0.8813116550445557,298.5178506374359,1102.065928220749,7,baseline,0.4,0.0,,40.0
5,off,10,0,5,96,0.01007454568753019,0.12125930935144424,0.3,1.0,294.1346423625946,12.497628927230835,0.8712356090545654,307.51806378364563,1409.5839920043945,7,baseline,0.5,0.0,,50.0
6,off,10,0,4,96,-0.0010490793356439099,0.11137054860591888,0.4,1.0,267.4989697933197,11.591875553131104,0.8942584991455078,279.996196269989,1689.5801882743835,7,baseline,0.4,0.0,,40.0
7,off,10,0,7,96,0.014017147070262581,0.06930197775363922,0.5,1.0,228.70922446250916,15.558803081512451,1.2265989780426025,245.50666999816895,1935.0868582725525,7,baseline,0.7,0.0,,70.0
8,off,10,0,3,96,-0.018620758334236598,0.16518241167068481,0.6375,1.0,242.3337438106537,14.151777029037476,0.870227575302124,257.372430562973,2192.4592888355255,7,baseline,0.3,0.0,,30.0
9,off,10,0,1,96,0.00517401309161869,0.14611253142356873,0.4375,1.0,297.2566394805908,10.412388563156128,0.8590056896209717,308.5412881374359,2501.0005769729614,7,baseline,0.1,0.0,,10.0
10,off,10,0,5,96,0.00917010597186163,0.135894313454628,0.425,1.0,270.04447841644287,13.84167218208313,0.9183733463287354,284.8159556388855,2785.816532611847,7,baseline,0.5,0.0,,50.0
11,off,10,0,5,96,0.023737688752589747,0.08810269087553024,0.525,1.0,242.04120683670044,12.800615072250366,0.9257321357727051,255.7822597026825,3041.5987923145294,7,baseline,0.5,0.0,,50.0
12,off,10,0,5,96,-0.004619298793841153,0.06241651251912117,0.4,1.0,294.91675186157227,11.0880286693573,0.9073529243469238,306.9240152835846,3348.522807598114,7,baseline,0.5,0.0,,50.0
13,off,10,0,5,96,0.04090788456960581,0.1217026636004448,0.475,1.0,270.52506399154663,12.383284091949463,0.9307761192321777,283.85268807411194,3632.375495672226,7,baseline,0.5,0.0,,50.0
14,off,10,0,1,96,0.009598716802429408,0.1844092756509781,0.575,1.0,292.2560794353485,12.096202373504639,0.8878841400146484,305.25459337234497,3937.630089044571,7,baseline,0.1,0.0,,10.0
15,off,10,0,3,96,-0.014459166428423487,0.16972236335277557,0.625,1.0,250.93431615829468,12.430277585983276,0.9035675525665283,264.2787985801697,4201.908887624741,7,baseline,0.3,0.0,,30.0
16,off,10,0,3,96,0.026973098720191047,0.09623180329799652,0.5125,1.0,261.71572399139404,11.565947771072388,0.9324326515197754,274.22265219688416,4476.131539821625,7,baseline,0.3,0.0,,30.0
17,off,10,0,4,96,-0.0038136231305543333,0.10427439212799072,0.3875,1.0,279.04492712020874,13.508344173431396,1.3476972579956055,293.9151349067688,4770.046674728394,7,baseline,0.4,0.0,,40.0
18,off,10,0,7,96,-0.0006433670532715041,0.039584070444107056,0.35,1.0,251.61775660514832,10.421589136123657,0.9156420230865479,262.96975684165955,5033.016431570053,7,baseline,0.7,0.0,,70.0
19,off,10,0,4,96,-0.0003538587989169173,0.0807969942688942,0.375,1.0,285.5065710544586,11.307274580001831,0.9062609672546387,297.7317171096802,5330.748148679733,7,baseline,0.4,0.0,,40.0
20,off,10,0,7,96,0.0036778805661015213,0.10985959321260452,0.3375,1.0,269.01913499832153,14.945205688476562,0.922694206237793,284.9027969837189,5615.650945663452,7,baseline,0.7,0.0,,70.0
21,off,10,0,6,96,-0.014038252120371908,0.12239532172679901,0.6875,1.0,225.00547671318054,14.129536390304565,0.9111471176147461,240.06843876838684,5855.719384431839,7,baseline,0.6,0.0,,60.0
