gate,K,TP,FP,prec,rec,f1,savings
"global (d=0.12, t=0.90)",10,19,4,0.8260869565217391,0.48717948717948717,0.6129032258064516,0.12666666666666668
task-aware (LOO per-type fit),10,22,9,0.7096774193548387,0.5641025641025641,0.6285714285714286,0.14666666666666667
