iter,gate,n_groups,n_groups_cut,n_zero_variance,n_train_items,loss,grad_norm,rewards_mean,rewards_max,rollout_secs,train_secs,save_secs,iter_secs,cumulative_wall_clock_sec,seed,arm,zv_rate,cut_rate,recall_per_iter,dilution_pct
11,on,10,4,7,96,-0.0033289742132183164,0.13808368146419525,0.35,1.0,173.32263326644897,13.423417568206787,0.8021740913391113,187.57067108154297,2542.233793258667,42,gated,0.5,0.4,0.5714285714285714,25.0
12,on,10,1,3,96,-0.03949076318531297,0.1633322685956955,0.3625,1.0,272.4777216911316,10.658885717391968,0.7928683757781982,283.95191717147827,2826.1857104301453,42,gated,0.2222222222222222,0.1,0.3333333333333333,16.666666666666664
13,on,10,2,7,96,-0.00032262384047498927,0.14592739939689636,0.3875,1.0,233.34963965415955,13.147921800613403,0.8178896903991699,247.33843564987183,3073.524146080017,42,gated,0.625,0.2,0.2857142857142857,41.66666666666667
14,on,10,3,9,96,0.016860593488672748,0.05834319069981575,0.575,1.0,177.54527139663696,19.16200613975525,0.698685884475708,197.42384505271912,3270.947991132736,42,gated,0.8571428571428571,0.3,0.3333333333333333,50.0
15,on,10,3,7,96,0.0038670879148412496,0.06979905813932419,0.4375,1.0,202.47354292869568,13.802233457565308,0.7100424766540527,217.00869750976562,3487.956688642502,42,gated,0.5714285714285714,0.3,0.42857142857142855,33.33333333333333
16,on,10,2,2,96,0.02550785729499694,0.13818924129009247,0.3,1.0,272.3369059562683,13.162604093551636,0.7985165119171143,286.32271027565,3774.279398918152,42,gated,0.0,0.2,1.0,0.0
17,on,10,2,5,96,-0.0038706706109223887,0.1577243059873581,0.55,1.0,206.12939476966858,16.295043230056763,0.7091312408447266,223.15569353103638,3997.4350924491882,42,gated,0.375,0.2,0.4,25.0
18,on,10,1,3,96,-0.02398671448463574,0.1504402756690979,0.325,1.0,306.29006481170654,8.615857362747192,0.8076212406158447,315.7380335330963,4313.173125982285,42,gated,0.2222222222222222,0.1,0.3333333333333333,16.666666666666664
19,on,10,0,4,96,0.007145469929810133,0.16529864072799683,0.6125,1.0,236.24723196029663,16.736669540405273,0.8025023937225342,253.8085060119629,4566.981631994247,42,gated,0.4,0.0,0.0,33.33333333333333
20,on,10,1,2,96,0.008843386618536897,0.1844272017478943,0.5625,1.0,237.70957684516907,16.976677656173706,0.7847650051116943,255.49160408973694,4822.473236083984,42,gated,0.1111111111111111,0.1,0.5,8.333333333333332
21,on,10,1,3,96,-0.02201762009644881,0.07953522354364395,0.2,1.0,300.8386769294739,9.464545488357544,0.8111591339111328,311.142564535141,5133.615800619125,42,gated,0.2222222222222222,0.1,0.3333333333333333,16.666666666666664
22,on,10,1,6,96,0.010213268193183467,0.12006213515996933,0.475,1.0,254.9688811302185,14.375026226043701,0.9278085231781006,270.29363536834717,5403.9094359874725,42,gated,0.5555555555555556,0.1,0.16666666666666666,41.66666666666667
