task_type,K,metric,n,spearman_rho,p_value,auroc_nonzero_var
look_at_obj_in_light,5,unique_action_ratio,8,0.43041423101055837,0.28710513998366005,0.9166666666666667
look_at_obj_in_light,5,unique_prefix_ratio,8,0.5495951187197244,0.1582151541443725,0.8333333333333334
look_at_obj_in_light,5,action_bigram_jaccard_mean,8,0.09759000729485333,0.8181772027352759,0.5833333333333334
look_at_obj_in_light,5,prefix_edit_distance_mean,8,0.049088069367381595,0.9081076186831958,0.7916666666666666
look_at_obj_in_light,5,obs_unique_ratio,8,0.4710815303311923,0.23869900873082348,0.6666666666666667
look_at_obj_in_light,5,termination_fraction,8,-0.4472135954999579,0.266569703380069,0.3333333333333333
look_at_obj_in_light,5,action_entropy,8,0.4879500364742666,0.21994381924181858,1.0
look_at_obj_in_light,10,unique_action_ratio,8,0.469171558408555,0.24087211955203303,1.0
look_at_obj_in_light,10,unique_prefix_ratio,8,0.6000000000000001,0.11583999999999989,1.0
look_at_obj_in_light,10,action_bigram_jaccard_mean,8,0.4879500364742666,0.21994381924181858,0.8333333333333333
look_at_obj_in_light,10,prefix_edit_distance_mean,8,0.43915503282683993,0.27632684013374553,1.0
look_at_obj_in_light,10,obs_unique_ratio,8,0.5926377579897538,0.12157229022676963,0.9583333333333334
look_at_obj_in_light,10,termination_fraction,8,-0.6792587173259473,0.06391994636942434,0.0
look_at_obj_in_light,10,action_entropy,8,0.5154247283575067,0.19109865341022336,1.0
look_at_obj_in_light,15,unique_action_ratio,8,0.6914107176547127,0.05751176810878844,1.0
look_at_obj_in_light,15,unique_prefix_ratio,8,0.8101914936669333,0.014754409343433143,1.0
look_at_obj_in_light,15,action_bigram_jaccard_mean,8,0.4879500364742666,0.21994381924181858,0.75
look_at_obj_in_light,15,prefix_edit_distance_mean,8,0.6343350474165467,0.09116266392027378,1.0
look_at_obj_in_light,15,obs_unique_ratio,8,0.6381449017759607,0.08863200146336751,1.0
look_at_obj_in_light,15,termination_fraction,8,-0.6914107176547127,0.05751176810878844,0.0
look_at_obj_in_light,15,action_entropy,8,0.7363210405107239,0.037246077456764996,1.0
look_at_obj_in_light,20,unique_action_ratio,8,0.6173309979059936,0.10296169438977658,1.0
look_at_obj_in_light,20,unique_prefix_ratio,8,0.7745966692414833,0.024008196755730963,1.0
look_at_obj_in_light,20,action_bigram_jaccard_mean,8,0.7319250547113999,0.038998273987822386,0.8333333333333334
look_at_obj_in_light,20,prefix_edit_distance_mean,8,0.7319250547113999,0.038998273987822386,1.0
look_at_obj_in_light,20,obs_unique_ratio,8,0.5962847939999439,0.11871315909008291,1.0
look_at_obj_in_light,20,termination_fraction,8,-0.5890568324085792,0.1244169118837137,0.0
look_at_obj_in_light,20,action_entropy,8,0.6381449017759607,0.08863200146336751,1.0
pick_and_place_simple,5,unique_action_ratio,24,0.002140648009084696,0.992079427743697,0.5909090909090909
pick_and_place_simple,5,unique_prefix_ratio,24,0.002140648009084696,0.992079427743697,0.5909090909090909
pick_and_place_simple,5,action_bigram_jaccard_mean,24,-0.020786302182914437,0.9231984539710978,0.5804195804195804
