name,n_iters,total_wall_sec,rollout_sec,n_groups,n_groups_cut,n_zero_var,reward_first5,reward_last5,grad_norm_mean,eval_iter0,eval_final
baseline,60,17252.178769350052,16480.69501566887,600,0,252,0.46749999999999997,0.51,0.12318243331586322,0.38,0.38
gated,60,15364.475608587265,14544.371740102768,600,96,281,0.44749999999999995,0.5275000000000001,0.18065378051251174,0.38,0.46
