task_id,label,wall_time_sec,step_tokens,rewards_mean,rewards_var,won,group_size,max_steps_cap,gate_cut
pick_heat_then_place_in_recep-Mug-None-Cabinet-3/trial_T20190909_014639_335717,baseline,11.370995044708252,63,1.0,0.0,8,8,30,0
pick_two_obj_and_place-Book-None-Desk-302/trial_T20190906_181233_363875,baseline,26.45509362220764,240,0.0,0.0,0,8,30,0
pick_clean_then_place_in_recep-Ladle-None-CounterTop-8/trial_T20190909_121908_219603,baseline,35.19213914871216,232,0.25,0.1875,2,8,30,0
pick_clean_then_place_in_recep-Ladle-None-DiningTable-16/trial_T20190909_183724_205399,baseline,36.86467361450195,240,0.0,0.0,0,8,30,0
pick_clean_then_place_in_recep-SoapBar-None-Toilet-428/trial_T20190907_041436_588106,baseline,22.11603307723999,135,0.875,0.109375,7,8,30,0
pick_cool_then_place_in_recep-Apple-None-Microwave-5/trial_T20190908_150807_823817,baseline,36.305919885635376,213,0.25,0.1875,2,8,30,0
pick_and_place_simple-SoapBar-None-Cart-401/trial_T20190907_054906_608944,baseline,4.977463245391846,40,1.0,0.0,8,8,30,0
pick_two_obj_and_place-AlarmClock-None-Dresser-305/trial_T20190907_165826_194855,baseline,25.591718435287476,240,0.0,0.0,0,8,30,0
pick_and_place_simple-SprayBottle-None-Toilet-418/trial_T20190906_190942_706186,baseline,7.7229368686676025,71,1.0,0.0,8,8,30,0
pick_cool_then_place_in_recep-Pan-None-DiningTable-7/trial_T20190908_232648_241836,baseline,32.6771354675293,240,0.0,0.0,0,8,30,0
pick_clean_then_place_in_recep-Plate-None-CounterTop-19/trial_T20190908_212725_836398,baseline,31.6574125289917,164,0.5,0.25,4,8,30,0
pick_and_place_simple-TissueBox-None-Toilet-426/trial_T20190910_155319_795672,baseline,7.721977710723877,60,1.0,0.0,8,8,30,0
pick_cool_then_place_in_recep-Cup-None-Microwave-17/trial_T20190906_192817_654400,baseline,35.64191007614136,240,0.0,0.0,0,8,30,0
