seed,bl_total_sec,gt_total_sec,wall_saved_pct,bl_final_eval,gt_final_eval,delta_pp,n_groups_cut,cut_rate_pct,bl_grad_norm_mean,gt_grad_norm_mean,grad_amp
13,17664.989938735962,16083.953536748886,8.950112100093326,48.0,54.0,6.0,88,14.666666666666666,0.12576532730211815,0.13925155190130076,1.1072332485310956
23,17295.040907621384,15700.469843149185,9.219816668774232,40.0,38.0,-2.0,119,19.833333333333332,0.1259231839949886,0.13837521355599164,1.098885917318439
42,17252.178769350052,14809.882461547852,14.156451428274933,38.0,40.0,2.0,124,20.666666666666668,0.12318243331586322,0.14827809513856968,1.2037276026067483
7,17361.447301626205,15512.708438634872,10.648529646593266,40.0,44.0,4.0,94,15.666666666666668,0.12549656049037974,0.15481124728297194,1.233589563554926
