seed,wall_pct,bl,gt,delta,cut_rate,grad_amp
seed=7,10.648529646593266,40.0,44.0,4.0,15.666666666666668,1.233589563554926
seed=42,14.156451428274933,38.0,40.0,2.0,20.666666666666668,1.2037276026067483
