K,d_low,t_high,n_cut,n_TP,n_FP,compute_saved_frac,compute_total_steps,compute_saved_steps,grad_norm_all,grad_norm_kept,grad_norm_preserved,grad_lost_sqsum_fp,label
10,0.11,1000000000.0,21,17,4,0.11925042589437819,18197,2170,22.090721477436496,21.354155963370733,0.9666572449968149,31.999998485712197,R1_K10_div0.11
10,0.12,1000000000.0,21,17,4,0.11925042589437819,18197,2170,22.090721477436496,21.354155963370733,0.9666572449968149,31.999998485712197,R1_K10_div0.12
10,0.12,0.9,23,19,4,0.11925042589437819,18197,2170,22.090721477436496,21.354155963370733,0.9666572449968149,31.999998485712197,R3_K10_div0.12_th0.90
15,0.24,0.9,30,25,5,0.10452272352585591,18197,1902,22.090721477436496,21.166009954447162,0.9581402751406813,39.999998001917696,R3_K15_div0.24_th0.90
20,0.3,0.9,30,22,8,0.058471176567566084,18197,1064,22.090721477436496,20.591259771962466,0.9321225562050754,63.999996397234256,R3_K20_div0.30_th0.90
