K,max_prod_K,mean_prod_K,max_unique_obs_K,mean_unique_obs_K,max_unique_action_K,min_repeat_K,mean_repeat_K,max_repeat_K,nav_fraction_K,task_id,label,reward_var,task_type,unique_action_ratio,unique_prefix_ratio,action_bigram_jaccard_mean,prefix_edit_distance_mean,obs_unique_ratio,termination_fraction,action_entropy
20,8,7.0,19,18.625,19,0.050000000000000044,0.17500000000000004,0.4,0.65,pick_and_place_simple-Box-None-Dresser-224/trial_T20190907_164104_229696,all_fail,0.0,pick_and_place_simple,0.5,0.5,0.3719924812030075,0.2785714285714286,0.5,0.0,0.6352130207431889
10,5,4.375,10,10.0,10,0.0,0.12499999999999997,0.19999999999999996,0.5625,pick_cool_then_place_in_recep-Apple-None-GarbageCan-2/trial_T20190906_195943_081289,mixed,0.1875,pick_cool_then_place_in_recep,0.25,0.25,0.42857142857142855,0.32142857142857145,0.25,0.0,0.318144667641655
15,7,5.25,15,14.0,15,0.0,0.2583333333333333,0.4666666666666667,0.65,pick_cool_then_place_in_recep-Apple-None-GarbageCan-2/trial_T20190906_195943_081289,mixed,0.1875,pick_cool_then_place_in_recep,0.375,0.375,0.515527950310559,0.4309523809523809,0.375,0.0,0.4685463540765222
20,8,5.875,20,16.5,20,0.0,0.31875,0.6,0.70625,pick_cool_then_place_in_recep-Apple-None-GarbageCan-2/trial_T20190906_195943_081289,mixed,0.1875,pick_cool_then_place_in_recep,0.625,0.625,0.5787468396449489,0.5089285714285714,0.625,0.0,0.6666666666666666
10,6,5.375,10,10.0,10,0.0,0.012499999999999997,0.09999999999999998,0.4625,pick_heat_then_place_in_recep-Cup-None-Cabinet-22/trial_T20190907_173251_960848,all_fail,0.0,pick_heat_then_place_in_recep,0.375,0.375,0.3144355644355645,0.21071428571428572,0.375,0.0,0.43293164689846614
15,10,7.5,15,13.625,14,0.06666666666666665,0.19999999999999998,0.33333333333333337,0.4642857142857143,pick_heat_then_place_in_recep-Cup-None-Cabinet-22/trial_T20190907_173251_960848,all_fail,0.0,pick_heat_then_place_in_recep,0.875,1.0,0.5669995230947243,0.4309523809523809,0.625,0.0,0.9166666666666666
20,14,9.25,18,15.125,16,0.19999999999999996,0.34375,0.44999999999999996,0.4393939393939394,pick_heat_then_place_in_recep-Cup-None-Cabinet-22/trial_T20190907_173251_960848,all_fail,0.0,pick_heat_then_place_in_recep,0.75,1.0,0.6336846800883053,0.5428571428571428,0.625,0.0,0.8018796874098554
10,5,5.0,10,10.0,10,0.0,0.0,0.0,0.5,pick_clean_then_place_in_recep-ButterKnife-None-DiningTable-16/trial_T20190909_114508_617301,all_fail,0.0,pick_clean_then_place_in_recep,0.125,0.125,0.0,0.0,0.125,0.0,-0.0
15,9,7.5,15,15.0,15,0.0,0.008333333333333331,0.06666666666666665,0.5,pick_clean_then_place_in_recep-ButterKnife-None-DiningTable-16/trial_T20190909_114508_617301,all_fail,0.0,pick_clean_then_place_in_recep,0.875,0.875,0.4394761413337265,0.2857142857142857,0.75,0.0,0.9166666666666666
20,13,9.875,20,19.0,20,0.0,0.10625,0.25,0.50625,pick_clean_then_place_in_recep-ButterKnife-None-DiningTable-16/trial_T20190909_114508_617301,all_fail,0.0,pick_clean_then_place_in_recep,0.875,1.0,0.5981378376468331,0.44107142857142856,1.0,0.0,0.9166666666666666
10,5,4.0,10,10.0,10,0.0,0.0,0.0,0.6,pick_heat_then_place_in_recep-Potato-None-Fridge-11/trial_T20190909_011341_436523,mixed,0.1875,pick_heat_then_place_in_recep,0.75,0.75,0.535448952308196,0.5535714285714286,0.75,0.0,0.8333333333333334
15,7,6.375,15,14.875,15,0.0,0.008333333333333331,0.06666666666666665,0.575,pick_heat_then_place_in_recep-Potato-None-Fridge-11/trial_T20190909_011341_436523,mixed,0.1875,pick_heat_then_place_in_recep,0.75,0.75,0.45453844515764025,0.4523809523809524,0.75,0.0,0.8333333333333334
20,10,8.625,20,19.875,20,0.0,0.018750000000000003,0.15000000000000002,0.56875,pick_heat_then_place_in_recep-Potato-None-Fridge-11/trial_T20190909_011341_436523,mixed,0.1875,pick_heat_then_place_in_recep,0.875,1.0,0.4980058232387425,0.46071428571428574,1.0,0.0,0.9166666666666666
10,6,3.375,10,9.625,10,0.0,0.0625,0.30000000000000004,0.6625,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,mixed,0.109375,look_at_obj_in_light,0.75,0.75,0.5478140906712335,0.6071428571428571,0.75,0.0,0.8018796874098554
15,7,4.0,15,14.375,15,0.0,0.07500000000000001,0.2666666666666667,0.7333333333333333,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,mixed,0.109375,look_at_obj_in_light,0.75,0.75,0.47038958031725275,0.530952380952381,0.75,0.0,0.8018796874098554
20,10,5.625,20,18.75,20,0.0,0.10625000000000001,0.44999999999999996,0.71875,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,mixed,0.109375,look_at_obj_in_light,0.75,0.875,0.4979034815402346,0.5375,0.75,0.0,0.8018796874098554
10,3,2.5,10,9.5,10,0.0,0.12499999999999997,0.19999999999999996,0.75,pick_two_obj_and_place-SprayBottle-None-GarbageCan-419/trial_T20190908_164236_518264,mixed,0.1875,pick_two_obj_and_place,0.375,0.875,0.6636287032295435,0.5107142857142857,0.625,0.0,0.5204260414863776
15,6,4.375,15,13.625,13,0.1333333333333333,0.23511904761904762,0.33333333333333337,0.7008547008547008,pick_two_obj_and_place-SprayBottle-None-GarbageCan-419/trial_T20190908_164236_518264,mixed,0.1875,pick_two_obj_and_place,0.875,1.0,0.5633177094601797,0.4642857142857143,0.875,0.125,0.9166666666666666
20,8,6.25,18,15.375,15,0.2142857142857143,0.3135504201680672,0.5,0.6503496503496503,pick_two_obj_and_place-SprayBottle-None-GarbageCan-419/trial_T20190908_164236_518264,mixed,0.1875,pick_two_obj_and_place,0.875,1.0,0.6012192153600632,0.5267857142857143,0.75,0.25,0.9166666666666666
10,5,4.625,10,10.0,10,0.0,0.04999999999999999,0.19999999999999996,0.5375,pick_heat_then_place_in_recep-Egg-None-CounterTop-2/trial_T20190908_122951_021026,mixed,0.1875,pick_heat_then_place_in_recep,0.75,0.875,0.586560235982505,0.5321428571428571,0.625,0.0,0.8018796874098554
15,7,6.125,15,14.75,15,0.0,0.125,0.4666666666666667,0.5916666666666667,pick_heat_then_place_in_recep-Egg-None-CounterTop-2/trial_T20190908_122951_021026,mixed,0.1875,pick_heat_then_place_in_recep,0.75,1.0,0.6224212415937413,0.5809523809523809,0.75,0.0,0.8333333333333334
20,10,7.625,20,18.25,20,0.0,0.175,0.6,0.61875,pick_heat_then_place_in_recep-Egg-None-CounterTop-2/trial_T20190908_122951_021026,mixed,0.1875,pick_heat_then_place_in_recep,0.875,1.0,0.6603679585825731,0.6232142857142857,0.875,0.0,0.9166666666666666
10,4,3.875,10,10.0,10,0.0,0.0,0.0,0.6125,pick_two_obj_and_place-RemoteControl-None-Ottoman-203/trial_T20190906_182952_858723,all_fail,0.0,pick_two_obj_and_place,0.25,0.25,0.15384615384615388,0.2,0.25,0.0,0.1811881477331988
15,7,6.25,15,15.0,15,0.0,0.008333333333333331,0.06666666666666665,0.5798319327731093,pick_two_obj_and_place-RemoteControl-None-Ottoman-203/trial_T20190906_182952_858723,all_fail,0.0,pick_two_obj_and_place,0.625,0.875,0.2789799253034547,0.22142857142857145,0.75,0.0,0.75
20,8,7.125,20,19.375,20,0.0,0.06875000000000002,0.25,0.6225165562913907,pick_two_obj_and_place-RemoteControl-None-Ottoman-203/trial_T20190906_182952_858723,all_fail,0.0,pick_two_obj_and_place,0.75,1.0,0.4772883534684777,0.36607142857142855,0.875,0.0,0.8333333333333334
10,4,3.25,10,10.0,10,0.0,0.0,0.0,0.675,pick_two_obj_and_place-Newspaper-None-Drawer-224/trial_T20190911_101248_326533,all_fail,0.0,pick_two_obj_and_place,0.5,0.5,0.30914085914085915,0.33571428571428574,0.5,0.0,0.5833333333333334
15,6,5.125,15,14.25,15,0.0,0.09166666666666665,0.19999999999999996,0.6583333333333333,pick_two_obj_and_place-Newspaper-None-Drawer-224/trial_T20190911_101248_326533,all_fail,0.0,pick_two_obj_and_place,0.75,0.75,0.25138430372148857,0.2547619047619048,0.625,0.0,0.8333333333333334
