rule,K,d_low,TP,FP,prec,rec,f1,savings,n_params,t_low,t_high,d_high
R2,5,,36,59,0.37894736842105264,0.9230769230769231,0.5373134328358209,0.3,2,0.1,0.8,
R2,5,,36,59,0.37894736842105264,0.9230769230769231,0.5373134328358209,0.3,2,0.1,0.8500000000000001,
R2,5,,35,59,0.3723404255319149,0.8974358974358975,0.5263157894736843,0.2916666666666667,2,0.1,0.9,
R2,5,,35,59,0.3723404255319149,0.8974358974358975,0.5263157894736843,0.2916666666666667,2,0.1,0.95,
R2,5,,35,59,0.3723404255319149,0.8974358974358975,0.5263157894736843,0.2916666666666667,2,0.1,1.0,
R2,5,,39,60,0.3939393939393939,1.0,0.5652173913043478,0.325,2,0.15000000000000002,0.5,
R2,5,,39,60,0.3939393939393939,1.0,0.5652173913043478,0.325,2,0.15000000000000002,0.55,
R2,5,,39,60,0.3939393939393939,1.0,0.5652173913043478,0.325,2,0.15000000000000002,0.6,
R2,5,,38,60,0.3877551020408163,0.9743589743589743,0.5547445255474452,0.31666666666666665,2,0.15000000000000002,0.65,
R2,5,,38,60,0.3877551020408163,0.9743589743589743,0.5547445255474452,0.31666666666666665,2,0.15000000000000002,0.7,
R2,5,,38,60,0.3877551020408163,0.9743589743589743,0.5547445255474452,0.31666666666666665,2,0.15000000000000002,0.75,
R2,5,,37,60,0.38144329896907214,0.9487179487179487,0.5441176470588235,0.30833333333333335,2,0.15000000000000002,0.8,
R2,5,,37,60,0.38144329896907214,0.9487179487179487,0.5441176470588235,0.30833333333333335,2,0.15000000000000002,0.8500000000000001,
R2,5,,36,60,0.375,0.9230769230769231,0.5333333333333333,0.3,2,0.15000000000000002,0.9,
R2,5,,36,60,0.375,0.9230769230769231,0.5333333333333333,0.3,2,0.15000000000000002,0.95,
R2,5,,36,60,0.375,0.9230769230769231,0.5333333333333333,0.3,2,0.15000000000000002,1.0,
R2,5,,39,60,0.3939393939393939,1.0,0.5652173913043478,0.325,2,0.2,0.5,
R2,5,,39,60,0.3939393939393939,1.0,0.5652173913043478,0.325,2,0.2,0.55,
R2,5,,39,60,0.3939393939393939,1.0,0.5652173913043478,0.325,2,0.2,0.6,
R2,5,,38,60,0.3877551020408163,0.9743589743589743,0.5547445255474452,0.31666666666666665,2,0.2,0.65,
R2,5,,38,60,0.3877551020408163,0.9743589743589743,0.5547445255474452,0.31666666666666665,2,0.2,0.7,
R2,5,,38,60,0.3877551020408163,0.9743589743589743,0.5547445255474452,0.31666666666666665,2,0.2,0.75,
R2,5,,37,60,0.38144329896907214,0.9487179487179487,0.5441176470588235,0.30833333333333335,2,0.2,0.8,
R2,5,,37,60,0.38144329896907214,0.9487179487179487,0.5441176470588235,0.30833333333333335,2,0.2,0.8500000000000001,
R2,5,,36,60,0.375,0.9230769230769231,0.5333333333333333,0.3,2,0.2,0.9,
R2,5,,36,60,0.375,0.9230769230769231,0.5333333333333333,0.3,2,0.2,0.95,
R2,5,,36,60,0.375,0.9230769230769231,0.5333333333333333,0.3,2,0.2,1.0,
R3,5,0.02,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.5,
R3,5,0.02,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.55,
R3,5,0.02,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.6,
R3,5,0.02,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.65,
R3,5,0.02,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.7,
R3,5,0.02,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.75,
R3,5,0.02,18,10,0.6428571428571429,0.46153846153846156,0.537313432835821,0.15,2,,0.8,
R3,5,0.02,18,10,0.6428571428571429,0.46153846153846156,0.537313432835821,0.15,2,,0.8500000000000001,
R3,5,0.02,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,0.9,
R3,5,0.02,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,0.95,
R3,5,0.02,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,1.0,
R3,5,0.039999999999999994,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.5,
R3,5,0.039999999999999994,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.55,
R3,5,0.039999999999999994,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.6,
R3,5,0.039999999999999994,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.65,
R3,5,0.039999999999999994,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.7,
R3,5,0.039999999999999994,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.75,
R3,5,0.039999999999999994,18,10,0.6428571428571429,0.46153846153846156,0.537313432835821,0.15,2,,0.8,
R3,5,0.039999999999999994,18,10,0.6428571428571429,0.46153846153846156,0.537313432835821,0.15,2,,0.8500000000000001,
R3,5,0.039999999999999994,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,0.9,
R3,5,0.039999999999999994,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,0.95,
R3,5,0.039999999999999994,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,1.0,
R3,5,0.06,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.5,
R3,5,0.06,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.55,
R3,5,0.06,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.6,
R3,5,0.06,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.65,
R3,5,0.06,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.7,
R3,5,0.06,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.75,
R3,5,0.06,18,10,0.6428571428571429,0.46153846153846156,0.537313432835821,0.15,2,,0.8,
R3,5,0.06,18,10,0.6428571428571429,0.46153846153846156,0.537313432835821,0.15,2,,0.8500000000000001,
R3,5,0.06,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,0.9,
R3,5,0.06,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,0.95,
R3,5,0.06,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,1.0,
R3,5,0.07999999999999999,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.5,
R3,5,0.07999999999999999,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.55,
R3,5,0.07999999999999999,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.6,
R3,5,0.07999999999999999,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.65,
R3,5,0.07999999999999999,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.7,
R3,5,0.07999999999999999,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.75,
R3,5,0.07999999999999999,18,10,0.6428571428571429,0.46153846153846156,0.537313432835821,0.15,2,,0.8,
R3,5,0.07999999999999999,18,10,0.6428571428571429,0.46153846153846156,0.537313432835821,0.15,2,,0.8500000000000001,
R3,5,0.07999999999999999,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,0.9,
R3,5,0.07999999999999999,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,0.95,
R3,5,0.07999999999999999,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,1.0,
R3,5,0.09999999999999999,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.5,
R3,5,0.09999999999999999,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.55,
R3,5,0.09999999999999999,20,10,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.16666666666666666,2,,0.6,
R3,5,0.09999999999999999,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.65,
R3,5,0.09999999999999999,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.7,
R3,5,0.09999999999999999,19,10,0.6551724137931034,0.48717948717948717,0.5588235294117647,0.15833333333333333,2,,0.75,
R3,5,0.09999999999999999,18,10,0.6428571428571429,0.46153846153846156,0.537313432835821,0.15,2,,0.8,
R3,5,0.09999999999999999,18,10,0.6428571428571429,0.46153846153846156,0.537313432835821,0.15,2,,0.8500000000000001,
R3,5,0.09999999999999999,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,0.9,
R3,5,0.09999999999999999,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,0.95,
R3,5,0.09999999999999999,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,2,,1.0,
R3,5,0.11999999999999998,22,11,0.6666666666666666,0.5641025641025641,0.611111111111111,0.18333333333333332,2,,0.5,
R3,5,0.11999999999999998,22,11,0.6666666666666666,0.5641025641025641,0.611111111111111,0.18333333333333332,2,,0.55,
R3,5,0.11999999999999998,22,11,0.6666666666666666,0.5641025641025641,0.611111111111111,0.18333333333333332,2,,0.6,
R3,5,0.11999999999999998,21,11,0.65625,0.5384615384615384,0.5915492957746479,0.175,2,,0.65,
R3,5,0.11999999999999998,21,11,0.65625,0.5384615384615384,0.5915492957746479,0.175,2,,0.7,
R3,5,0.11999999999999998,21,11,0.65625,0.5384615384615384,0.5915492957746479,0.175,2,,0.75,
R3,5,0.11999999999999998,20,11,0.6451612903225806,0.5128205128205128,0.5714285714285714,0.16666666666666666,2,,0.8,
R3,5,0.11999999999999998,20,11,0.6451612903225806,0.5128205128205128,0.5714285714285714,0.16666666666666666,2,,0.8500000000000001,
R3,5,0.11999999999999998,20,11,0.6451612903225806,0.5128205128205128,0.5714285714285714,0.16666666666666666,2,,0.9,
R3,5,0.11999999999999998,20,11,0.6451612903225806,0.5128205128205128,0.5714285714285714,0.16666666666666666,2,,0.95,
R3,5,0.11999999999999998,20,11,0.6451612903225806,0.5128205128205128,0.5714285714285714,0.16666666666666666,2,,1.0,
