run,n_steps,total_step_secs,mean_step_secs,total_items,mean_items_per_step,n_groups_cut,loss_first5,loss_last5,grad_norm_mean
baseline,20,496.029887676239,24.80149438381195,2560,128.0,0,0.0308357104252579,0.02216880074611254,0.08558297865092754
gated,20,336.3200707435608,16.81600353717804,1984,99.2,18,0.017321168362087747,0.02587743997710561,0.09754665344953536
