metric,mean,ci_low,ci_high
offline_precision,0.8244519249638101,0.6470588235294118,0.9583333333333334
offline_recall,0.486276193086305,0.3333333333333333,0.6486486486486487
offline_savings_pct,12.712,8.0,18.000000000000004
tier3_baseline_acc,0.37844,0.24,0.52
tier3_gated_acc,0.45902000000000004,0.32,0.6
tier3_delta,0.08058000000000001,0.019999999999999962,0.15999999999999998
